City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
130,wairoa,44,NZ,1554078005,62,-39.04,177.43,75.0,10.0
131,inta,88,RU,1554078379,81,66.04,60.13,29.96,7.09
132,vila,0,IT,1554078378,60,45.18,8.4,55.99,8.05
133,gat,0,SN,1554076800,68,14.69,-16.54,68.0,21.92
134,nizhniy kuranakh,56,RU,1554078380,81,58.84,125.49,20.42,3.29
135,faridpur,0,IN,1554078380,41,28.21,79.54,69.65,10.67
136,sur,12,OM,1554078380,78,22.57,59.53,79.82,7.2
137,dingle,0,PH,1554078152,65,11.0,122.67,77.84,13.02
138,hualmay,24,PE,1554078381,86,-11.1,-77.61,67.58,5.64
139,mazatlan,5,MX,1554077847,65,23.22,-106.42,78.8,11.41
140,itarema,92,BR,1554078381,94,-2.92,-39.92,79.01,4.41
141,two rivers,90,US,1554078252,37,44.15,-87.57,35.6,5.82
142,maryville,1,US,1554078080,18,40.35,-94.87,44.6,6.93
143,bathsheba,20,BB,1554073200,74,13.22,-59.52,78.8,11.41
144,khandyga,0,RU,1554078382,65,62.65,135.58,18.26,3.4
145,hermanus,88,ZA,1554077747,78,-34.42,19.24,57.99,3.0
146,carnarvon,8,ZA,1554078382,28,-30.97,22.13,56.51,10.78
147,nyzhni sirohozy,0,UA,1554078382,77,46.85,34.38,36.44,2.51
148,samfya,44,ZM,1554078382,87,-11.37,29.56,68.03,10.67
149,yoichi,20,JP,1554076800,59,43.19,140.77,44.01,5.82
150,sydney,75,AU,1554078363,82,-33.85,151.22,72.0,19.46
151,katsuura,40,JP,1554077220,53,33.93,134.5,50.0,18.34
152,inhambane,0,MZ,1554078383,100,-23.87,35.38,69.47,4.74
153,victor harbor,75,AU,1554078325,45,-35.55,138.62,66.2,9.17
154,butaritari,36,KI,1554078199,100,3.07,172.79,81.53,13.24
155,northam,0,GB,1554078127,80,51.04,-4.21,46.0,5.82
156,ilulissat,56,GL,1554076200,66,69.22,-51.1,15.8,17.22
157,vao,56,EE,1554078384,88,59.1,26.19,30.95,10.0
158,manubul,68,PH,1554078384,100,5.47,120.8,79.82,8.1
159,ayagoz,0,KZ,1554078384,73,47.96,80.43,28.61,2.73
160,fortuna,75,ES,1554078085,93,38.18,-1.13,57.2,8.05
161,alakurtti,8,RU,1554078385,81,66.96,30.34,23.84,7.65
162,lumphat,64,KH,1554078385,85,13.5,106.97,76.13,3.06
163,college,1,US,1554078331,45,64.86,-147.8,54.0,5.64
164,adrar,0,DZ,1554073200,48,27.87,-0.29,66.2,10.29
165,hambantota,0,LK,1554078123,100,6.12,81.12,80.0,6.64
166,tilichiki,88,RU,1554078386,93,60.47,166.1,34.64,11.56
167,kainantu,24,PG,1554078386,85,-6.29,145.87,71.9,1.5
168,tarakan,75,ID,1554073200,94,3.3,117.63,73.4,2.24
169,iwata,20,JP,1554078294,43,34.71,137.85,54.0,6.93
170,iquitos,75,PE,1554073200,319,-3.75,-73.25,42.8,3.36
171,eyl,92,SO,1554078126,100,7.98,49.82,77.93,6.64
172,batagay,0,RU,1554078387,64,67.65,134.64,13.04,3.96
173,anadyr,90,RU,1554078146,98,64.73,177.51,33.8,20.13
174,clyde river,90,CA,1554076800,91,70.47,-68.59,1.4,10.29
175,lumut,0,ID,1554078387,94,-8.46,120.34,74.96,2.73
176,longyearbyen,20,NO,1554076200,71,78.22,15.63,5.0,6.93
177,ahipara,92,NZ,1554078388,93,-35.17,173.16,70.55,12.24
178,beringovskiy,88,RU,1554078108,96,63.05,179.32,32.57,15.03
179,kendari,88,ID,1554078388,96,-3.99,122.52,75.23,3.74
180,mount isa,0,AU,1554075000,35,-20.73,139.49,71.6,10.29
181,totness,1,US,1554078387,42,33.74,-80.8,63.0,8.05
182,caravelas,0,BR,1554078389,100,-17.73,-39.27,81.08,15.03
183,torbay,90,CA,1554077918,100,47.66,-52.73,42.8,14.99
184,quatre cocos,75,MU,1554077942,94,-20.21,57.76,75.99,4.7
185,freeport,40,BS,1554076800,83,26.54,-78.7,71.6,2.24
186,salon-de-provence,0,FR,1554078306,80,43.64,5.1,48.2,4.7
187,nemuro,75,JP,1554076800,63,43.32,145.57,30.2,5.82
188,kiunga,12,PG,1554078390,86,-6.12,141.3,81.08,2.73
189,tete,0,MZ,1554078390,79,-16.16,33.59,71.99,6.42
190,tadine,0,NC,1554078135,95,-21.55,167.88,79.28,8.99
191,pimentel,92,BR,1554078390,99,-3.7,-45.5,73.34,3.18
192,codrington,24,AU,1554078301,59,-28.95,153.24,73.0,5.82
193,chumikan,80,RU,1554078390,71,54.72,135.31,23.66,5.41
194,touros,75,BR,1554075000,94,-5.2,-35.46,78.8,2.24
195,araouane,76,ML,1554078391,34,18.9,-3.53,82.25,8.1
196,port-gentil,20,GA,1554073200,94,-0.72,8.78,77.0,2.24
197,gigmoto,88,PH,1554078391,100,13.78,124.39,76.13,6.42
198,kutum,0,SD,1554078391,23,14.2,24.66,61.1,9.66
199,sibiti,48,CG,1554078392,91,-3.69,13.35,74.96,2.51
200,chapais,40,CA,1554073200,57,49.78,-74.86,19.4,11.41
201,vila velha,68,BR,1554078384,100,-3.71,-38.6,79.0,1.01
202,tema,8,GH,1554078392,98,5.66,-0.01,82.79,10.67
203,tiksi,8,RU,1554078177,76,71.64,128.87,23.03,6.98
204,kitimat,20,CA,1554073200,28,54.02,-128.69,59.0,6.93
205,douentza,92,ML,1554078393,57,15.01,-2.95,87.29,1.39
206,zyryanovsk,80,KZ,1554078393,92,49.74,84.27,35.09,2.17
207,lorengau,48,PG,1554078393,96,-2.02,147.27,83.6,10.22
208,saryozek,48,KZ,1554078393,72,44.36,77.98,36.8,2.73
209,along,92,IN,1554078393,96,28.17,94.8,55.79,1.95
210,arecibo,5,PR,1554078390,78,18.47,-66.72,79.0,8.05
211,maniitsoq,76,GL,1554078394,87,65.42,-52.9,21.95,14.47
212,lazaro cardenas,5,MX,1554078313,28,28.39,-105.62,73.0,13.87
213,arman,32,RU,1554078376,71,59.7,150.17,23.93,10.33
214,tual,68,ID,1554078394,100,-5.67,132.75,82.88,15.03
215,yeppoon,0,AU,1554075000,53,-23.13,150.74,77.0,10.29
216,inuvik,75,CA,1554076800,90,68.36,-133.71,32.0,17.22
217,dire,75,ET,1554076800,48,9.18,38.92,64.4,4.7
218,astana,0,KZ,1554075000,100,51.13,71.43,26.6,4.47
219,kichera,0,RU,1554078395,63,55.93,110.1,9.53,1.5
220,kaspiyskiy,0,RU,1554078396,98,45.39,47.37,41.75,16.15
221,rusape,12,ZW,1554078396,92,-18.53,32.12,53.72,2.39
222,lompoc,1,US,1554078327,48,34.64,-120.46,75.99,10.29
223,qaanaaq,44,GL,1554078396,85,77.48,-69.36,-3.53,4.41
224,taikang,64,CN,1554078396,55,46.86,124.44,29.51,7.2
225,vestmanna,80,FO,1554076200,87,62.16,-7.17,42.8,13.87
226,den helder,0,NL,1554078151,91,52.96,4.76,42.8,13.87
227,butajira,44,ET,1554078397,84,8.12,38.38,50.93,2.73
228,leningradskiy,24,RU,1554078397,92,69.38,178.42,7.64,9.66
229,pirgos,75,GR,1554078276,58,35.12,25.72,57.2,24.16
230,varberg,0,SE,1554077884,74,57.11,12.25,32.0,2.24
231,souillac,0,FR,1554078333,50,45.6,-0.6,53.6,3.36
232,chifeng,0,CN,1554078398,53,42.27,118.96,28.61,5.97
233,severnoye,92,RU,1554078398,94,54.09,52.54,34.82,13.69
234,port lincoln,32,AU,1554078181,100,-34.72,135.86,62.09,2.17
235,isangel,40,VU,1554073200,79,-19.55,169.27,84.2,4.7
236,ust-nera,36,RU,1554078399,79,64.57,143.24,8.0,2.62
237,kamenka,20,RU,1554078399,90,53.19,44.05,35.45,13.91
238,saint george,0,GR,1554076200,81,39.45,22.34,44.6,3.4
239,aklavik,75,CA,1554076800,99,68.22,-135.01,32.0,17.22
240,smithers,20,CA,1554073500,34,54.78,-127.17,53.6,5.82
241,port hardy,20,CA,1554073200,76,50.7,-127.42,50.0,8.05
242,ancud,90,CL,1554073200,100,-41.87,-73.83,55.4,5.82
243,paamiut,76,GL,1554078401,100,61.99,-49.67,26.18,5.19
244,sicamous,75,CA,1554078325,50,50.84,-118.99,57.99,5.82
245,methoni,0,GR,1554078347,87,36.82,21.7,55.0,17.27
246,kirkuk,68,IQ,1554078401,92,35.47,44.4,52.01,6.64
247,brae,80,GB,1554076200,75,60.4,-1.35,42.8,18.34
248,kodiak,1,US,1554078080,18,39.95,-94.76,46.0,6.93
249,olinda,40,EC,1554078300,66,-2.03,-79.75,87.8,3.36
250,syracuse,90,US,1554078049,74,43.05,-76.15,33.8,20.8
251,airai,0,TL,1554078402,62,-8.93,125.41,76.58,1.28
252,pisco,20,PE,1554073200,30,-13.71,-76.2,71.6,23.04
253,quarai,36,BR,1554078402,76,-30.39,-56.45,74.96,8.32
254,jurm,0,AF,1554078402,89,36.86,70.83,18.53,1.72
255,ostrovnoy,0,RU,1554078402,80,68.05,39.51,21.05,18.84
256,moyale,56,ET,1554078403,61,3.52,39.05,66.68,2.95
257,saldanha,0,PT,1554078403,78,41.42,-6.55,47.42,4.41
